iter	Passed	Remaining
0	6	6520
1	23	11626
2	26	8771
3	30	7617
4	34	6932
5	39	6485
6	42	6020
7	45	5684
8	49	5429
9	52	5193
10	55	5017
11	58	4842
12	61	4697
13	65	4586
14	68	4478
15	71	4386
16	74	4304
17	77	4226
18	81	4195
19	84	4156
20	87	4063
21	90	4005
22	92	3946
23	95	3881
24	98	3826
25	100	3765
26	103	3725
27	106	3690
28	108	3645
29	111	3614
30	114	3582
31	116	3536
32	120	3522
33	123	3495
34	126	3475
35	128	3432
36	131	3414
37	134	3394
38	136	3361
39	138	3316
40	141	3300
41	143	3279
42	146	3261
43	149	3248
44	152	3236
45	155	3221
46	158	3205
47	160	3185
48	163	3171
49	166	3160
50	168	3131
51	170	3107
52	173	3094
53	174	3063
54	178	3068
55	182	3071
56	186	3079
57	188	3056
58	191	3048
59	194	3053
60	196	3026
61	199	3014
62	202	3008
63	204	2997
64	207	2989
65	210	2980
66	214	2984
67	216	2964
68	219	2961
69	222	2953
70	225	2944
71	227	2928
72	230	2924
73	233	2917
74	236	2912
75	239	2907
76	242	2901
77	245	2905
78	248	2901
79	251	2896
80	255	2894
81	257	2886
82	260	2880
83	263	2877
84	266	2873
85	268	2854
86	271	2850
87	274	2848
88	278	2846
89	281	2846
90	283	2829
91	286	2826
92	289	2820
93	292	2821
94	295	2818
95	299	2816
96	302	2814
97	305	2808
98	308	2805
99	311	2806
100	314	2802
101	316	2788
102	320	2788
103	323	2787
104	326	2786
105	328	2773
106	332	2776
107	336	2778
108	339	2775
109	343	2777
110	347	2784
111	351	2787
112	353	2773
113	356	2768
114	358	2758
115	362	2760
116	366	2767
117	369	2760
118	372	2757
119	375	2756
120	378	2750
121	381	2747
122	384	2743
123	387	2739
124	390	2733
125	393	2730
126	396	2726
127	399	2722
128	402	2720
129	405	2716
130	409	2713
131	412	2711
132	415	2707
133	418	2702
134	421	2698
135	424	2697
136	427	2694
137	430	2690
138	433	2686
139	436	2681
140	439	2678
141	444	2683
142	447	2680
143	450	2675
144	453	2671
145	456	2672
146	459	2668
147	462	2664
148	465	2660
149	468	2656
150	471	2650
151	475	2652
152	478	2648
153	481	2644
154	484	2639
155	487	2635
156	490	2634
157	492	2625
158	495	2622
159	498	2619
160	501	2615
161	504	2610
162	508	2608
163	511	2605
164	513	2600
165	515	2591
166	518	2586
167	521	2582
168	523	2576
169	527	2573
170	529	2569
171	533	2566
172	536	2563
173	540	2563
174	543	2560
175	546	2556
176	549	2552
177	551	2548
178	554	2543
179	557	2541
180	560	2537
181	562	2529
182	565	2524
183	568	2520
184	571	2518
185	575	2517
186	577	2508
187	579	2504
188	582	2501
189	585	2498
190	589	2495
191	592	2492
192	595	2489
193	597	2484
194	600	2480
195	603	2477
196	607	2476
197	609	2469
198	612	2466
199	615	2461
200	618	2457
201	621	2453
202	624	2450
203	627	2448
204	629	2439
205	631	2435
206	634	2431
207	637	2429
208	641	2426
209	644	2422
210	647	2419
211	650	2416
212	653	2412
213	656	2410
214	659	2407
215	662	2404
216	664	2397
217	667	2395
218	670	2392
219	673	2388
220	676	2384
221	679	2380
222	681	2376
223	684	2372
224	688	2370
225	691	2367
226	694	2363
227	697	2360
228	700	2357
229	703	2354
230	706	2350
231	709	2348
232	712	2344
233	714	2340
234	718	2337
235	721	2335
236	724	2333
237	727	2330
238	730	2327
239	734	2324
240	737	2321
241	741	2321
242	743	2315
243	746	2312
244	749	2308
245	752	2305
246	755	2302
247	758	2298
248	760	2294
249	763	2291
250	766	2287
251	769	2283
252	772	2280
253	774	2275
254	777	2271
255	780	2268
256	783	2265
257	786	2262
258	789	2258
259	792	2255
260	795	2252
261	798	2249
262	801	2247
263	805	2245
264	809	2244
265	812	2242
266	815	2238
267	818	2236
268	822	2236
269	827	2237
270	831	2235
271	834	2232
272	837	2230
273	841	2230
274	845	2229
275	848	2226
276	852	2224
277	855	2222
278	859	2221
279	862	2218
280	866	2215
281	869	2214
282	872	2210
283	874	2205
284	877	2202
285	881	2199
286	883	2195
287	886	2190
288	889	2187
289	891	2183
290	894	2180
291	897	2177
292	901	2174
293	904	2172
294	906	2166
295	909	2163
296	912	2160
297	916	2157
298	919	2155
299	922	2151
300	925	2148
301	928	2145
302	931	2142
303	934	2140
304	938	2137
305	941	2134
306	944	2131
307	947	2128
308	950	2125
309	954	2123
310	957	2120
311	959	2116
312	962	2113
313	965	2110
314	968	2107
315	971	2103
316	974	2100
317	977	2097
318	979	2091
319	982	2087
320	985	2085
321	989	2082
322	992	2079
323	995	2076
324	998	2073
325	1002	2073
326	1006	2072
327	1010	2069
328	1012	2065
329	1016	2062
330	1019	2060
331	1022	2057
332	1025	2054
333	1028	2051
334	1031	2047
335	1035	2045
336	1038	2043
337	1041	2039
338	1044	2036
339	1046	2031
340	1050	2029
341	1053	2026
342	1056	2023
343	1059	2020
344	1062	2016
345	1065	2013
346	1067	2008
347	1070	2006
348	1073	2002
349	1076	1998
350	1079	1995
351	1082	1992
352	1085	1989
353	1088	1985
354	1091	1982
355	1094	1979
356	1097	1977
357	1101	1974
358	1104	1971
359	1107	1969
360	1110	1966
361	1113	1963
362	1117	1960
363	1120	1957
364	1123	1954
365	1127	1952
366	1130	1950
367	1134	1948
368	1138	1946
369	1141	1943
370	1144	1940
371	1147	1937
372	1151	1935
373	1155	1933
374	1158	1930
375	1161	1927
376	1164	1923
377	1167	1920
378	1170	1917
379	1173	1914
380	1176	1911
381	1179	1908
382	1183	1906
383	1186	1902
384	1189	1899
385	1192	1896
386	1195	1893
387	1198	1891
388	1201	1887
389	1204	1884
390	1208	1881
391	1211	1878
392	1214	1876
393	1219	1875
394	1222	1872
395	1225	1869
396	1228	1865
397	1231	1863
398	1235	1860
399	1238	1857
400	1241	1854
401	1244	1851
402	1247	1848
403	1251	1846
404	1254	1843
405	1257	1839
406	1260	1837
407	1264	1834
408	1267	1831
409	1270	1828
410	1273	1824
411	1276	1821
412	1279	1818
413	1282	1815
414	1285	1812
415	1288	1809
416	1291	1806
417	1294	1802
418	1298	1800
419	1301	1797
420	1305	1796
421	1309	1794
422	1313	1791
423	1317	1790
424	1321	1788
425	1325	1785
426	1328	1782
427	1332	1780
428	1336	1778
429	1340	1776
430	1343	1773
431	1346	1770
432	1350	1768
433	1354	1766
434	1357	1763
435	1360	1759
436	1364	1757
437	1367	1754
438	1370	1751
439	1374	1748
440	1377	1745
441	1380	1742
442	1383	1739
443	1386	1736
444	1390	1734
445	1393	1730
446	1396	1728
447	1400	1725
448	1403	1721
449	1405	1718
450	1409	1715
451	1411	1711
452	1415	1708
453	1417	1705
454	1420	1701
455	1423	1698
456	1426	1695
457	1430	1693
458	1433	1689
459	1436	1686
460	1439	1682
461	1443	1680
462	1446	1677
463	1449	1674
464	1451	1670
465	1454	1667
466	1457	1664
467	1461	1660
468	1464	1657
469	1467	1654
470	1470	1651
471	1473	1648
472	1476	1644
473	1479	1641
474	1482	1638
475	1485	1634
476	1488	1631
477	1491	1628
478	1494	1625
479	1497	1622
480	1500	1619
481	1503	1616
482	1506	1612
483	1509	1609
484	1512	1606
485	1516	1603
486	1519	1600
487	1522	1597
488	1525	1593
489	1529	1591
490	1532	1588
491	1535	1585
492	1537	1581
493	1541	1578
494	1544	1575
495	1547	1572
496	1550	1569
497	1554	1566
498	1557	1563
499	1560	1560
500	1563	1557
501	1566	1553
502	1568	1550
503	1571	1546
504	1574	1543
505	1577	1540
506	1580	1536
507	1583	1533
508	1586	1530
509	1589	1526
510	1592	1523
511	1595	1520
512	1599	1517
513	1601	1514
514	1604	1511
515	1607	1507
516	1611	1505
517	1614	1502
518	1617	1498
519	1620	1495
520	1623	1492
521	1626	1489
522	1629	1485
523	1631	1482
524	1635	1479
525	1638	1476
526	1641	1473
527	1645	1470
528	1648	1467
529	1651	1464
530	1654	1461
531	1656	1457
532	1660	1454
533	1663	1451
534	1666	1448
535	1669	1445
536	1672	1442
537	1675	1439
538	1679	1436
539	1682	1433
540	1685	1429
541	1688	1426
542	1691	1423
543	1694	1420
544	1697	1417
545	1700	1414
546	1703	1410
547	1706	1407
548	1709	1404
549	1712	1400
550	1715	1397
551	1718	1394
552	1721	1391
553	1724	1388
554	1727	1385
555	1730	1381
556	1733	1378
557	1736	1375
558	1739	1372
559	1741	1368
560	1745	1365
561	1748	1362
562	1751	1359
563	1754	1356
564	1757	1353
565	1761	1350
566	1764	1347
567	1767	1344
568	1770	1340
569	1773	1337
570	1776	1334
571	1779	1331
572	1782	1328
573	1786	1325
574	1789	1322
575	1793	1320
576	1796	1317
577	1801	1315
578	1805	1312
579	1809	1310
580	1812	1307
581	1816	1304
582	1819	1301
583	1823	1298
584	1827	1296
585	1831	1294
586	1835	1291
587	1838	1287
588	1841	1285
589	1846	1282
590	1850	1280
591	1853	1277
592	1856	1274
593	1859	1271
594	1862	1267
595	1865	1264
596	1868	1261
597	1871	1258
598	1875	1255
599	1877	1251
600	1880	1248
601	1883	1245
602	1886	1241
603	1889	1238
604	1892	1235
605	1895	1232
606	1898	1229
607	1901	1225
608	1904	1223
609	1908	1219
610	1910	1216
611	1913	1213
612	1916	1210
613	1919	1206
614	1922	1203
615	1925	1200
616	1927	1196
617	1931	1193
618	1934	1190
619	1936	1187
620	1939	1183
621	1942	1180
622	1945	1177
623	1948	1174
624	1951	1171
625	1954	1167
626	1957	1164
627	1960	1161
628	1963	1158
629	1966	1154
630	1969	1151
631	1972	1148
632	1975	1145
633	1978	1141
634	1981	1138
635	1983	1135
636	1986	1132
637	1990	1129
638	1993	1126
639	1996	1123
640	1999	1119
641	2002	1116
642	2005	1113
643	2008	1110
644	2011	1107
645	2014	1103
646	2017	1100
